"Year","Month","Day","Hour","Temperature","Pressure"
"2014","1","1","1","-103","10189"
"2014","1","1","2","-93","10183"
"2014","1","1","4","-74","10168"
"2014","1","1","5","-67","10158"
"2014","1","1","6","-70","10151"
"2014","1","1","7","-56","10150"
"2014","1","1","8","-50","10148"
"2014","1","1","9","-41","10143"
"2014","1","1","10","-31","10139"
"2014","1","1","11","-42","10142"
"2014","1","1","12","-44","10140"
"2014","1","1","13","-53","10135"
"2014","1","1","14","-48","10136"
"2014","1","1","15","-61","10137"
"2014","1","1","16","-63","10138"
"2014","1","1","17","-41","10141"
"2014","1","1","18","-46","10142"
"2014","1","1","19","-54","10146"
"2014","1","1","20","-59","10151"
"2014","1","1","21","-58","10152"
"2014","1","1","22","-65","10159"
"2014","1","1","23","-70","10167"
