"Year","Month","Day","Hour","Temperature","Pressure"
"2013","1","1","0","-20","9965"
"2013","1","1","1","-24","9961"
"2013","1","1","2","-22","9967"
"2013","1","1","3","-19","9976"
"2013","1","1","4","-21","9965"
"2013","1","1","5","-21","9966"
"2013","1","1","6","-18","9975"
"2013","1","1","7","-17","9983"
"2013","1","1","8","-16","9977"
"2013","1","1","9","-21","9980"
"2013","1","1","10","-18","9984"
"2013","1","1","11","-17","9976"
"2013","1","1","12","-15","9983"
"2013","1","1","13","-12","9982"
"2013","1","1","14","-10","9982"
"2013","1","1","15","-9","9981"
"2013","1","1","16","-9","9971"
"2013","1","1","17","-8","9978"
"2013","1","1","18","-8","9984"
"2013","1","1","19","-9","9984"
"2013","1","1","20","-9","9981"
"2013","1","1","21","-6","9984"
"2013","1","1","22","-7","9986"
"2013","1","1","23","-7","9991"
